Findings,Descrptions,Solutions
SSI injections,"Web servers usually give developers the ability to add small pieces of dynamic code inside static HTML pages, without having to deal with fullfledged serverside or clientside languages.  This feature is incarnated by the ServerSide Includes (SSI). The attacker will try to inject code into the application that will be interpreted by SSI mechanisms. A successful exploitation of this vulnerability allows an attacker to inject code into HTML pages or even perform remote code execution.","Web servers usually give developers the ability to add small pieces of dynamic code inside static HTML pages, without having to deal with fullfledged serverside or clientside languages.  This feature is incarnated by the ServerSide Includes (SSI). The attacker will try to inject code into the application that will be interpreted by SSI mechanisms. A successful exploitation of this vulnerability allows an attacker to inject code into HTML pages or even perform remote code execution."
File upload injections,"Uploaded files represent a significant risk to applications. The first step in many attacks is to get some code to the system to be attacked. Then the attack only needs to find a way to get the code executed. Using a file upload helps the attacker accomplish the first step.  The consequences of unrestricted file upload can vary, including complete system takeover, an overloaded file system or database, forwarding attacks to backend systems, and simple defacement.  There are really two classes of problems here. The first is with the file metadata, like the path and file name. These are generally provided by the transport, such as HTTP multipart encoding. This data may trick the application into overwriting a critical file or storing the file in a bad location. You must validate the metadata extremely carefully before using it.  The other class of problem is with the file size or content. An attacker can easily craft a valid image file with PHP code inside.","Uploaded files represent a significant risk to applications. The first step in many attacks is to get some code to the system to be attacked. Then the attack only needs to find a way to get the code executed. Using a file upload helps the attacker accomplish the first step.  The consequences of unrestricted file upload can vary, including complete system takeover, an overloaded file system or database, forwarding attacks to backend systems, and simple defacement.  There are really two classes of problems here. The first is with the file metadata, like the path and file name. These are generally provided by the transport, such as HTTP multipart encoding. This data may trick the application into overwriting a critical file or storing the file in a bad location. You must validate the metadata extremely carefully before using it.  The other class of problem is with the file size or content. An attacker can easily craft a valid image file with PHP code inside."
Version management,"An important aspect of secure application development is to prevent information leakage.  Error messages give an attacker great insight into the inner workings of an application.  The purpose of reviewing the Error Handling code is to assure the application fails safely under all  possible error conditions, expected and unexpected. No sensitive information is presented to the user  when an error occurs.  When an exception or error is thrown we also need to log this occurrence. Sometimes this is due to bad development, but it can be the result of an attack or some other service your application relies on failing.  All code paths that can cause an exception to be thrown should check for success in order for the exception  not to be thrown.","An important aspect of secure application development is to prevent information leakage.  Error messages give an attacker great insight into the inner workings of an application.  The purpose of reviewing the Error Handling code is to assure the application fails safely under all  possible error conditions, expected and unexpected. No sensitive information is presented to the user  when an error occurs.  When an exception or error is thrown we also need to log this occurrence. Sometimes this is due to bad development, but it can be the result of an attack or some other service your application relies on failing.  All code paths that can cause an exception to be thrown should check for success in order for the exception  not to be thrown."
Debug enabeling,"Sometimes it is possible through an ""enabling debug parameter"" to display technical information/secrets within the application. As a result, the attacker learns more about the operation of the application, increasing his attack surface. Sometimes having a debug flag  enabled could even lead to code execution attacks (older versions of werkzeug)","Sometimes it is possible through an ""enabling debug parameter"" to display technical information/secrets within the application. As a result, the attacker learns more about the operation of the application, increasing his attack surface. Sometimes having a debug flag  enabled could even lead to code execution attacks (older versions of werkzeug)"
Robots.txt,"Each site uses a robots.txt file which allows search engines to provide information. The robots.txt determines what pages may or may not be indexed by google or yahoo etc. However, a common mistake made by programmers is applying a blacklisting method causing the application displaying sensitive information to attackers.","Each site uses a robots.txt file which allows search engines to provide information. The robots.txt determines what pages may or may not be indexed by google or yahoo etc. However, a common mistake made by programmers is applying a blacklisting method causing the application displaying sensitive information to attackers."
Accessible non parsed dynamic scripts,"Applications often include files in other pages. When these files can be directly approached by normal users, the operation of the application can be traced because the source code becomes available. This improves the possibility that the attacker discovers vulnerabilities.  It is also highly recommended that old files are removed from the server and not beind stored or backuped as i.e ""file.php.old"".","Applications often include files in other pages. When these files can be directly approached by normal users, the operation of the application can be traced because the source code becomes available. This improves the possibility that the attacker discovers vulnerabilities.  It is also highly recommended that old files are removed from the server and not beind stored or backuped as i.e ""file.php.old""."
Include anti caching headers,"Anticaching headers have the ability to tell the browser, computer and proxies what information they may or may not store on the intermediate media","Anticaching headers have the ability to tell the browser, computer and proxies what information they may or may not store on the intermediate media"
Include anti clickjacking headers,"Clickjacking, also known as a ""UI redress attack"", is when an attacker uses multiple transparent or opaque layers to trick a user into clicking on a button or link on another page when they were intending to click on the top level page. Thus, the attacker is ""hijacking"" clicks meant for their page and routing them to another page, most likely owned by another application, domain, or both.  Using a similar technique, keystrokes can also be hijacked. With a carefully crafted combination of stylesheets, iframes, and text boxes, a user can be led to believe they are typing in the password to their email or bank account, but are instead typing into an invisible frame controlled by the attacker.","Clickjacking, also known as a ""UI redress attack"", is when an attacker uses multiple transparent or opaque layers to trick a user into clicking on a button or link on another page when they were intending to click on the top level page. Thus, the attacker is ""hijacking"" clicks meant for their page and routing them to another page, most likely owned by another application, domain, or both.  Using a similar technique, keystrokes can also be hijacked. With a carefully crafted combination of stylesheets, iframes, and text boxes, a user can be led to believe they are typing in the password to their email or bank account, but are instead typing into an invisible frame controlled by the attacker."
Include X XSS,"This header enables the Crosssite scripting (XSS) filter built into most recent web browsers. It is usually enabled by default anyway, so the role of this header is to reenable the filter for this particular website if it was disabled by the user. This header is supported in IE 8 and in Chrome 4.","This header enables the Crosssite scripting (XSS) filter built into most recent web browsers. It is usually enabled by default anyway, so the role of this header is to reenable the filter for this particular website if it was disabled by the user. This header is supported in IE 8 and in Chrome 4."
Include X Content Type Options header,"The only defined value, nosniff, prevents Internet Explorer and Google Chrome from MIMEsniffing a response away from the declared contenttype. This also applies to Google Chrome, when downloading extensions. This reduces exposure to driveby download attacks and sites serving user uploaded content that, by clever naming, could be treated by MSIE as executable or dynamic HTML files.","The only defined value, nosniff, prevents Internet Explorer and Google Chrome from MIMEsniffing a response away from the declared contenttype. This also applies to Google Chrome, when downloading extensions. This reduces exposure to driveby download attacks and sites serving user uploaded content that, by clever naming, could be treated by MSIE as executable or dynamic HTML files."
Include Strict Transport Security header,HTTP StrictTransportSecurity (HSTS) enforces secure (HTTP over SSL/TLS) connections to the server. This reduces the impact of bugs in web applications leaking session data through cookies and external links and defends against Maninthemiddle attacks. HSTS also disables the ability for user''s to ignore SSL negotiation warnings,HTTP StrictTransportSecurity (HSTS) enforces secure (HTTP over SSL/TLS) connections to the server. This reduces the impact of bugs in web applications leaking session data through cookies and external links and defends against Maninthemiddle attacks. HSTS also disables the ability for user''s to ignore SSL negotiation warnings
Sensitive information stored in cookies,"Sensitive data should not be stored in a cookie,because the cookie is also used on the clientside and is adaptable thus making its content readable. A hacker could gain access to a cookie through cross site scripting attacks and gain the sensitive information stored in the targets cookie.","Sensitive data should not be stored in a cookie,because the cookie is also used on the clientside and is adaptable thus making its content readable. A hacker could gain access to a cookie through cross site scripting attacks and gain the sensitive information stored in the targets cookie."
Client side state management,"An application can implement all kinds of logic rules through JavaScript and HTML. However, these are clientside constraints that a hacker can easily disable or modify.","An application can implement all kinds of logic rules through JavaScript and HTML. However, these are clientside constraints that a hacker can easily disable or modify."
Too verbose authentication,"The error messages that are displayed when a user fails to login into an application should be selected with caution. When this error message gives away too much information, this information can be exploited by a hacker.","The error messages that are displayed when a user fails to login into an application should be selected with caution. When this error message gives away too much information, this information can be exploited by a hacker."
Brute force password guessing,"Login functions should not be abused in an automated way that an attacker could create a script that contains a list of usernames and passwords, which he could use against your login function in order to gain unauthorized access to user accounts.","Login functions should not be abused in an automated way that an attacker could create a script that contains a list of usernames and passwords, which he could use against your login function in order to gain unauthorized access to user accounts."
Denial of service by locking out accounts,"Whenever the opportunity to log into the application is offered, it should not lock out accounts. A hacker could abuse this function to make the application deny access towards its power users.","Whenever the opportunity to log into the application is offered, it should not lock out accounts. A hacker could abuse this function to make the application deny access towards its power users."
Predictable password and or token generation,Tokens or passwords that are used within the application must contain high entropy in order to prevent the prediction of these values.,Tokens or passwords that are used within the application must contain high entropy in order to prevent the prediction of these values.
Unauthorized credential changes,"An application which offers user login functionality, usually has an administration page where userdata can be modified. When the user wants to change this data he should specify his current password.","An application which offers user login functionality, usually has an administration page where userdata can be modified. When the user wants to change this data he should specify his current password."
Double decoding of headers parameters,"Double decoding is a problem which often occurs when multiple servers are used in which a configuration error is made. A hacker can encode his payload differently so it will not be recognized by a Web Application Firewall (WAF) or an Intrusion Detection System (IDS) and also bypass the escaping of the application.  By using double encoding it''s possible to bypass security filters that only decode user input once. The second decoding process is executed by the backend platform or modules that properly handle encoded data, but don''t have the corresponding security checks in place.  Attackers can inject double encoding in pathnames or query strings to bypass the authentication scheme and security filters in use by the web application.","Double decoding is a problem which often occurs when multiple servers are used in which a configuration error is made. A hacker can encode his payload differently so it will not be recognized by a Web Application Firewall (WAF) or an Intrusion Detection System (IDS) and also bypass the escaping of the application.  By using double encoding it''s possible to bypass security filters that only decode user input once. The second decoding process is executed by the backend platform or modules that properly handle encoded data, but don''t have the corresponding security checks in place.  Attackers can inject double encoding in pathnames or query strings to bypass the authentication scheme and security filters in use by the web application."
Resource identifier injection,"A resource identifier injection basically means that the attacker can determine which resources are loaded into the web application. An attacker could thus influence the operation of the web application and redirect users to other websites. This attack consists of changing resource identifiers used by an application in order to perform a malicious task. When an application permits a user input to define a resource, like a file name or port number, this data can be manipulated to execute or access different resources. In order to be properly executed, the attacker must have the possibility to specify a resource identifier through the application form and the application must permit the execution. The resource type affected by user input indicates the content type that may be exposed. For example, an application that permits input of special characters like period, slash, and backlash is risky when used in methods that interact with the file system. The resource injection attack focuses on accessing other resources than the local filesystem, which is different attack technique known as a Path Manipulation attack.","A resource identifier injection basically means that the attacker can determine which resources are loaded into the web application. An attacker could thus influence the operation of the web application and redirect users to other websites. This attack consists of changing resource identifiers used by an application in order to perform a malicious task. When an application permits a user input to define a resource, like a file name or port number, this data can be manipulated to execute or access different resources. In order to be properly executed, the attacker must have the possibility to specify a resource identifier through the application form and the application must permit the execution. The resource type affected by user input indicates the content type that may be exposed. For example, an application that permits input of special characters like period, slash, and backlash is risky when used in methods that interact with the file system. The resource injection attack focuses on accessing other resources than the local filesystem, which is different attack technique known as a Path Manipulation attack."
Dynamic scripting injection,"When user input is used to evaluate scripting code, highsecurity risks could be introduced. If the input is not properly escaped an attacker can inject his own script code and gain access to the server.","When user input is used to evaluate scripting code, highsecurity risks could be introduced. If the input is not properly escaped an attacker can inject his own script code and gain access to the server."
Regular expression injection,"If the application uses regular expressions which receive user input, then the user input should be properly escaped. If not done properly, then the hacker can affect the regular expression and modify their logic. In some cases, an attacker could even gain access to the server.","If the application uses regular expressions which receive user input, then the user input should be properly escaped. If not done properly, then the hacker can affect the regular expression and modify their logic. In some cases, an attacker could even gain access to the server."
Automated spamming via feedback scripts,A hacker must not gain the ability to abuse an applications email functionality by means of scripts which sends automated spamming mails.,A hacker must not gain the ability to abuse an applications email functionality by means of scripts which sends automated spamming mails.
Session cookies without the Secure attribute,"The secure flag is an option that can be set when creating a cookie. This flag ensures that the cookie will not be sent over an unencrypted connection by the browser,which ensures that the session cookie can not be sent over a nonencrypted link.","The secure flag is an option that can be set when creating a cookie. This flag ensures that the cookie will not be sent over an unencrypted connection by the browser,which ensures that the session cookie can not be sent over a nonencrypted link."
Session cookies without the HttpOnly attribute,An HttpOnly flag is an option that can be set when creating a cookie. This v ensures that the cookie cannot be read or edited by JavaScript. This ensures an attacker cannot steal this cookie as a crosssite scripting vulnerability is present in the application.,An HttpOnly flag is an option that can be set when creating a cookie. This v ensures that the cookie cannot be read or edited by JavaScript. This ensures an attacker cannot steal this cookie as a crosssite scripting vulnerability is present in the application.
External session hijacking,"When an attacker obtains a users session cookie, then he can steal the identity of the user which the session cookie belongs to.","When an attacker obtains a users session cookie, then he can steal the identity of the user which the session cookie belongs to."
Insecure transmission of session cookies,"If the session cookies are sent over an unencrypted connection, they should be withdrawn immediately. These cookies are not to be trusted anymore as a hacker may have captured their values.","If the session cookies are sent over an unencrypted connection, they should be withdrawn immediately. These cookies are not to be trusted anymore as a hacker may have captured their values."
Unproven cryptographic algorithms,"The encryption techniques used in the application must be known and proven methods. When there is a selfmade hashing algorithm developed, it is likely to contain vulnerabilities due to mathflaws resulting in encryption which can be broken.","The encryption techniques used in the application must be known and proven methods. When there is a selfmade hashing algorithm developed, it is likely to contain vulnerabilities due to mathflaws resulting in encryption which can be broken."
Client side authentication,"An application could implement authentication functionalities through JavaScript and HTML. However, these are clientside constraints that are imposed, which means that a hacker can easily disable or modify these constraints.","An application could implement authentication functionalities through JavaScript and HTML. However, these are clientside constraints that are imposed, which means that a hacker can easily disable or modify these constraints."
Identifier based authorization,An application uses parameters in order to process data. These parameters can also be used to assign certain roles and retrieve Content corresponding with those parameters. For example:      www.target.com/index.php?loggedin=user  In this situation the application will get content and subscribe user roles corresponding to the user parameter.      www.target.com/index.php?loggedin=admin  In this situation the application will get content and subscribe user roles corresponding to the admin parameter. (Note: the above two links are no longer available.),An application uses parameters in order to process data. These parameters can also be used to assign certain roles and retrieve Content corresponding with those parameters. For example:      www.target.com/index.php?loggedin=user  In this situation the application will get content and subscribe user roles corresponding to the user parameter.      www.target.com/index.php?loggedin=admin  In this situation the application will get content and subscribe user roles corresponding to the admin parameter. (Note: the above two links are no longer available.)
Principle of complete mediation,"Throughout development of the application, there must be perpetual checks in place to check if all pages and resources by default require authentication except those specifically intended to be public.  Sometimes developers simply forget to implement these checks, or they remove the checks  temporarily for testing purposes.","Throughout development of the application, there must be perpetual checks in place to check if all pages and resources by default require authentication except those specifically intended to be public.  Sometimes developers simply forget to implement these checks, or they remove the checks  temporarily for testing purposes."
Prepared statements and query parameterization,"All SQL queries, HQL, OSQL, NOSQL and stored procedures, related to stored procedures should be protected by the use of query parameterization. If an attacker can inject malicious code into these queries and gain the ability to manipulate them and can withdraw, update and delete data which is stored on the target database.","All SQL queries, HQL, OSQL, NOSQL and stored procedures, related to stored procedures should be protected by the use of query parameterization. If an attacker can inject malicious code into these queries and gain the ability to manipulate them and can withdraw, update and delete data which is stored on the target database."
"Are all passwords hashed, salted and stretched","Verify that account passwords are one way hashed with a salt, and there is sufficient work  factor to defeat brute force and password hash recovery attacks.","Verify that account passwords are one way hashed with a salt, and there is sufficient work  factor to defeat brute force and password hash recovery attacks."
Sensitive information transmitted by unencrypted methods,Whenever sensitive information is sent by unencrypted methods an attacker could intercept this data and use this for malicious intents.,Whenever sensitive information is sent by unencrypted methods an attacker could intercept this data and use this for malicious intents.
Session information is not stored server side,Whenever session information is not stored on the serverside an attacker could easily tamper and manipulate these values. This is always a bad idea and you should not do this!,Whenever session information is not stored on the serverside an attacker could easily tamper and manipulate these values. This is always a bad idea and you should not do this!
The crossdomain xml should only contains trusted domains,"The use of a crossdomain.xml file is required when the web application uses Flash. This file is used to set up restrictions for any other web servers using the flash application. If these are not set correctly, an attacker could exploit this to execute targeted attacks against the users of the web application.","The use of a crossdomain.xml file is required when the web application uses Flash. This file is used to set up restrictions for any other web servers using the flash application. If these are not set correctly, an attacker could exploit this to execute targeted attacks against the users of the web application."
Session ids should be generated with sufficient entropy,"Whenever session IDs are not generated with a sufficient entropy this could lead to a session collision or session hijacking. If an attacker can guess an authenticated user''s session identifier, he can take over the user''s session.","Whenever session IDs are not generated with a sufficient entropy this could lead to a session collision or session hijacking. If an attacker can guess an authenticated user''s session identifier, he can take over the user''s session."
User generated session ids should be rejected by the server,"Whenever user generated session IDs are not rejected by the server, an attacker could change the session credentials given by the server on the targets computer into an easy to remember value.  The attacker then changes his own session credentials with the easily to remember value he used on the target''s computer. Through this,  the attacker could do a session hijacking on the targets current session.","Whenever user generated session IDs are not rejected by the server, an attacker could change the session credentials given by the server on the targets computer into an easy to remember value.  The attacker then changes his own session credentials with the easily to remember value he used on the target''s computer. Through this,  the attacker could do a session hijacking on the targets current session."
The logout functionality should revoke the complete session,"When the logout functionality does not revoke the complete session, an attacker could still impersonate a user when he has access to the session cookie even after the user is logged off the application.","When the logout functionality does not revoke the complete session, an attacker could still impersonate a user when he has access to the session cookie even after the user is logged off the application."
The login functionality should always generate a new session id,Whenever an user is successfully authenticated the application should generate a new session cookie.,Whenever an user is successfully authenticated the application should generate a new session cookie.
Does The application enforce the use of secure passwords,"Applications should encourage the use of strong passwords and passphrases. Preferably the password policy should not put limitations or restrictions on the chosen passwords (for example the length of a password). Whenever the application supports strong passwords and the use of password managers, the possibility for an attacker performing a succesfull bruteforce  attack drops significantly. This also increases the possibility that the application can be used with users'' passwords managers.","Applications should encourage the use of strong passwords and passphrases. Preferably the password policy should not put limitations or restrictions on the chosen passwords (for example the length of a password). Whenever the application supports strong passwords and the use of password managers, the possibility for an attacker performing a succesfull bruteforce  attack drops significantly. This also increases the possibility that the application can be used with users'' passwords managers."
Session IDs do not timeout (idl),"All sessions should implement an idle or inactivity timeout. This timeout defines the amount of time a session will remain active in case there is no activity in the session, closing and invalidating the session upon the defined idle period since the last HTTP request received by the web application for a given session ID. The idle timeout limits the chances an attacker has to guess and use a valid session ID from another user. However, if the attacker is able to hijack a given session, the idle timeout does not limit the attacker''s actions, as he can generate activity on the session periodically to keep the session active for longer periods of time.  Session timeout management and expiration must be enforced on the serverside. If the client is used to enforce the session timeout, for example using the session token or other client parameters to track time references (e.g. number of minutes since login time), an attacker could manipulate these to extend the session duration.","All sessions should implement an idle or inactivity timeout. This timeout defines the amount of time a session will remain active in case there is no activity in the session, closing and invalidating the session upon the defined idle period since the last HTTP request received by the web application for a given session ID. The idle timeout limits the chances an attacker has to guess and use a valid session ID from another user. However, if the attacker is able to hijack a given session, the idle timeout does not limit the attacker''s actions, as he can generate activity on the session periodically to keep the session active for longer periods of time.  Session timeout management and expiration must be enforced on the serverside. If the client is used to enforce the session timeout, for example using the session token or other client parameters to track time references (e.g. number of minutes since login time), an attacker could manipulate these to extend the session duration."
